"group_uid","player.treatment","subsession.round_number","manager","player.price"
"botno_2__g2","M_no_W_no",1,"no",100
"botno_2__g3","M_no_W_no",1,"no",100
"botno_2__g4","M_no_W_no",1,"no",200
"botno_2__g5","M_no_W_no",1,"no",166
"MnoWe_1__g1","M_no_W_exp",1,"no",200
"MnoWe_1__g2","M_no_W_exp",1,"no",100
"MnoWe_1__g3","M_no_W_exp",1,"no",149
"MnoWe_1__g4","M_no_W_exp",1,"no",80
"MnoWe_1__g5","M_no_W_exp",1,"no",100
"MnoWe_2__g1","M_no_W_exp",1,"no",100
"MnoWe_2__g2","M_no_W_exp",1,"no",200
"MnoWe_2__g3","M_no_W_exp",1,"no",150
"MnoWe_2__g4","M_no_W_exp",1,"no",200
"MnoWe_2__g5","M_no_W_exp",1,"no",225
"MeWno_1__g1","M_exp_W_no",1,"no",99
"MeWno_1__g2","M_exp_W_no",1,"no",150
"MeWno_1__g3","M_exp_W_no",1,"no",150
"MeWno_1__g4","M_exp_W_no",1,"no",150
"MeWno_1__g5","M_exp_W_no",1,"no",112
"MeWno_2__g1","M_exp_W_no",1,"no",150
"MeWno_2__g2","M_exp_W_no",1,"no",200
"MeWno_2__g3","M_exp_W_no",1,"no",180
"MeWno_2__g4","M_exp_W_no",1,"no",150
"MeWno_2__g5","M_exp_W_no",1,"no",113
"bothe_1__g1","M_exp_W_exp",1,"no",110
"bothe_1__g2","M_exp_W_exp",1,"no",150
"bothe_1__g3","M_exp_W_exp",1,"no",200
"bothe_1__g4","M_exp_W_exp",1,"no",152
"bothe_1__g5","M_exp_W_exp",1,"no",201
"bothe_2__g1","M_exp_W_exp",1,"no",120
"bothe_2__g2","M_exp_W_exp",1,"no",115
"bothe_2__g3","M_exp_W_exp",1,"no",110
"bothe_2__g4","M_exp_W_exp",1,"no",100
"bothe_2__g5","M_exp_W_exp",1,"no",125
"bothno_1__g1","M_no_W_no",2,"no",100
"bothno_1__g2","M_no_W_no",2,"no",120
"bothno_1__g3","M_no_W_no",2,"no",150
"bothno_1__g4","M_no_W_no",2,"no",100
"bothno_1__g5","M_no_W_no",2,"no",160
"botno_2__g1","M_no_W_no",2,"no",100
"botno_2__g2","M_no_W_no",2,"no",100
"botno_2__g3","M_no_W_no",2,"no",110
"botno_2__g4","M_no_W_no",2,"no",180
"botno_2__g5","M_no_W_no",2,"no",250
"MnoWe_1__g1","M_no_W_exp",2,"no",100
"MnoWe_1__g2","M_no_W_exp",2,"no",100
"MnoWe_1__g3","M_no_W_exp",2,"no",100
"MnoWe_1__g4","M_no_W_exp",2,"no",80
"MnoWe_1__g5","M_no_W_exp",2,"no",75
"MnoWe_2__g1","M_no_W_exp",2,"no",100
"MnoWe_2__g2","M_no_W_exp",2,"no",200
"MnoWe_2__g3","M_no_W_exp",2,"no",120
"MnoWe_2__g4","M_no_W_exp",2,"no",100
"MnoWe_2__g5","M_no_W_exp",2,"no",245
"MeWno_1__g1","M_exp_W_no",2,"no",100
"MeWno_1__g2","M_exp_W_no",2,"no",150
"MeWno_1__g3","M_exp_W_no",2,"no",160
"MeWno_1__g4","M_exp_W_no",2,"no",100
"MeWno_1__g5","M_exp_W_no",2,"no",130
"MeWno_2__g1","M_exp_W_no",2,"no",100
"MeWno_2__g2","M_exp_W_no",2,"no",200
"MeWno_2__g3","M_exp_W_no",2,"no",150
"MeWno_2__g4","M_exp_W_no",2,"no",200
"MeWno_2__g5","M_exp_W_no",2,"no",130
"bothe_1__g1","M_exp_W_exp",2,"no",105
"bothe_1__g2","M_exp_W_exp",2,"no",160
"bothe_1__g3","M_exp_W_exp",2,"no",200
"bothe_1__g4","M_exp_W_exp",2,"no",150
"bothe_1__g5","M_exp_W_exp",2,"no",255
"bothe_2__g1","M_exp_W_exp",2,"no",115
"bothe_2__g2","M_exp_W_exp",2,"no",130
"bothe_2__g3","M_exp_W_exp",2,"no",110
"bothe_2__g4","M_exp_W_exp",2,"no",100
"bothe_2__g5","M_exp_W_exp",2,"no",120
"bothno_1__g1","M_no_W_no",3,"no",100
"bothno_1__g2","M_no_W_no",3,"no",120
